date_time,water_level,sigma,o,f,r,l,quality 
2017-06-26 00:00,602.854,0.000,0,0,0,0,v
2017-06-26 00:06,602.867,0.000,0,0,0,0,v
2017-06-26 00:12,602.854,0.000,0,0,0,0,v
2017-06-26 00:18,602.838,0.000,0,0,0,0,v
2017-06-26 00:24,602.841,0.000,0,0,0,0,v
2017-06-26 00:30,602.835,0.000,0,0,0,0,v
2017-06-26 00:36,602.835,0.000,0,0,0,0,v
2017-06-26 00:42,602.835,0.000,0,0,0,0,v
2017-06-26 00:48,602.835,0.000,0,0,0,0,v
2017-06-26 00:54,602.812,0.003,0,0,0,0,v
2017-06-26 01:00,602.795,0.000,0,0,0,0,v
2017-06-26 01:06,602.825,0.007,0,0,0,0,v
2017-06-26 01:12,602.861,0.000,0,0,0,0,v
2017-06-26 01:18,602.864,0.000,0,0,0,0,v
2017-06-26 01:24,602.864,0.003,0,0,0,0,v
2017-06-26 01:30,602.844,0.000,0,0,0,0,v
2017-06-26 01:36,602.851,0.007,0,0,0,0,v
2017-06-26 01:42,602.904,0.003,0,0,0,0,v
2017-06-26 01:48,602.887,0.010,0,0,0,0,v
2017-06-26 01:54,602.867,0.000,0,0,0,0,v
2017-06-26 02:00,602.881,0.007,0,0,0,0,v
2017-06-26 02:06,602.890,0.000,0,0,0,0,v
2017-06-26 02:12,602.900,0.000,0,0,0,0,v
2017-06-26 02:18,602.907,0.007,0,0,0,0,v
2017-06-26 02:24,602.927,0.003,0,0,0,0,v
2017-06-26 02:30,602.943,0.000,0,0,0,0,v
2017-06-26 02:36,602.943,0.000,0,0,0,0,v
2017-06-26 02:42,602.982,0.010,0,0,0,0,v
2017-06-26 02:48,603.022,0.000,0,0,0,0,v
2017-06-26 02:54,602.999,0.000,0,0,0,0,v
2017-06-26 03:00,602.999,0.000,0,0,0,0,v
2017-06-26 03:06,603.005,0.003,0,0,0,0,v
2017-06-26 03:12,603.028,0.007,0,0,0,0,v
2017-06-26 03:18,603.035,0.000,0,0,0,0,v
2017-06-26 03:24,603.018,0.007,0,0,0,0,v
2017-06-26 03:30,603.009,0.007,0,0,0,0,v
2017-06-26 03:36,603.002,0.000,0,0,0,0,v
2017-06-26 03:42,603.005,0.000,0,0,0,0,v
2017-06-26 03:48,603.002,0.000,0,0,0,0,v
2017-06-26 03:54,602.999,0.000,0,0,0,0,v
2017-06-26 04:00,602.999,0.000,0,0,0,0,v
2017-06-26 04:06,602.999,0.000,0,0,0,0,v
2017-06-26 04:12,602.995,0.000,0,0,0,0,v
2017-06-26 04:18,602.963,0.007,0,0,0,0,v
2017-06-26 04:24,602.933,0.003,0,0,0,0,v
2017-06-26 04:30,602.917,0.000,0,0,0,0,v
2017-06-26 04:36,602.920,0.000,0,0,0,0,v
2017-06-26 04:42,602.927,0.000,0,0,0,0,v
2017-06-26 04:48,602.917,0.003,0,0,0,0,v
2017-06-26 04:54,602.881,0.007,0,0,0,0,v
2017-06-26 05:00,602.858,0.000,0,0,0,0,v
2017-06-26 05:06,602.841,0.003,0,0,0,0,v
2017-06-26 05:12,602.838,0.000,0,0,0,0,v
2017-06-26 05:18,602.822,0.003,0,0,0,0,v
2017-06-26 05:24,602.795,0.003,0,0,0,0,v
2017-06-26 05:30,602.779,0.000,0,0,0,0,v
2017-06-26 05:36,602.753,0.007,0,0,0,0,v
2017-06-26 05:42,602.717,0.000,0,0,0,0,v
2017-06-26 05:48,602.720,0.000,0,0,0,0,v
2017-06-26 05:54,602.740,0.003,0,0,0,0,v
2017-06-26 06:00,602.743,0.000,0,0,0,0,v
2017-06-26 06:06,602.723,0.007,0,0,0,0,v
2017-06-26 06:12,602.694,0.003,0,0,0,0,v
2017-06-26 06:18,602.694,0.000,0,0,0,0,v
2017-06-26 06:24,602.694,0.000,0,0,0,0,v
2017-06-26 06:30,602.687,0.003,0,0,0,0,v
2017-06-26 06:36,602.700,0.000,0,0,0,0,v
2017-06-26 06:42,602.710,0.003,0,0,0,0,v
2017-06-26 06:48,602.713,0.000,0,0,0,0,v
2017-06-26 06:54,602.717,0.000,0,0,0,0,v
2017-06-26 07:00,602.717,0.000,0,0,0,0,v
2017-06-26 07:06,602.730,0.007,0,0,0,0,v
2017-06-26 07:12,602.746,0.003,0,0,0,0,v
2017-06-26 07:18,602.746,0.000,0,0,0,0,v
2017-06-26 07:24,602.733,0.003,0,0,0,0,v
2017-06-26 07:30,602.717,0.000,0,0,0,0,v
2017-06-26 07:36,602.717,0.000,0,0,0,0,v
2017-06-26 07:42,602.717,0.000,0,0,0,0,v
2017-06-26 07:48,602.697,0.003,0,0,0,0,v
2017-06-26 07:54,602.684,0.000,0,0,0,0,v
2017-06-26 08:00,602.684,0.000,0,0,0,0,v
2017-06-26 08:06,602.697,0.007,0,0,0,0,v
2017-06-26 08:12,602.707,0.000,0,0,0,0,v
2017-06-26 08:18,602.707,0.003,0,0,0,0,v
2017-06-26 08:24,602.700,0.003,0,0,0,0,v
2017-06-26 08:30,602.726,0.003,0,0,0,0,v
2017-06-26 08:36,602.743,0.003,0,0,0,0,v
2017-06-26 08:42,602.753,0.000,0,0,0,0,v
2017-06-26 08:48,602.779,0.003,0,0,0,0,v
2017-06-26 08:54,602.805,0.000,0,0,0,0,v
2017-06-26 09:00,602.815,0.000,0,0,0,0,v
2017-06-26 09:06,602.825,0.000,0,0,0,0,v
2017-06-26 09:12,602.838,0.000,0,0,0,0,v
2017-06-26 09:18,602.881,0.007,0,0,0,0,v
2017-06-26 09:24,602.920,0.007,0,0,0,0,v
2017-06-26 09:30,602.927,0.000,0,0,0,0,v
2017-06-26 09:36,602.927,0.000,0,0,0,0,v
2017-06-26 09:42,602.933,0.003,0,0,0,0,v
2017-06-26 09:48,602.959,0.000,0,0,0,0,v
2017-06-26 09:54,602.969,0.000,0,0,0,0,v
2017-06-26 10:00,602.976,0.000,0,0,0,0,v
2017-06-26 10:06,602.989,0.000,0,0,0,0,v
2017-06-26 10:12,602.999,0.003,0,0,0,0,v
2017-06-26 10:18,603.009,0.000,0,0,0,0,v
2017-06-26 10:24,603.022,0.000,0,0,0,0,v
2017-06-26 10:30,603.041,0.007,0,0,0,0,v
2017-06-26 10:36,603.087,0.007,0,0,0,0,v
2017-06-26 10:42,603.110,0.000,0,0,0,0,v
2017-06-26 10:48,603.107,0.000,0,0,0,0,v
2017-06-26 10:54,603.110,0.003,0,0,0,0,v
2017-06-26 11:00,603.127,0.003,0,0,0,0,v
2017-06-26 11:06,603.123,0.000,0,0,0,0,v
2017-06-26 11:12,603.107,0.003,0,0,0,0,v
2017-06-26 11:18,603.091,0.000,0,0,0,0,v
2017-06-26 11:24,603.074,0.000,0,0,0,0,v
2017-06-26 11:30,603.074,0.000,0,0,0,0,v
2017-06-26 11:36,603.045,0.007,0,0,0,0,v
2017-06-26 11:42,603.009,0.003,0,0,0,0,v
2017-06-26 11:48,603.005,0.000,0,0,0,0,v
2017-06-26 11:54,602.995,0.003,0,0,0,0,v
2017-06-26 12:00,602.969,0.007,0,0,0,0,v
2017-06-26 12:06,602.946,0.000,0,0,0,0,v
2017-06-26 12:12,602.946,0.000,0,0,0,0,v
2017-06-26 12:18,602.943,0.007,0,0,0,0,v
2017-06-26 12:24,602.936,0.000,0,0,0,0,v
2017-06-26 12:30,602.936,0.000,0,0,0,0,v
2017-06-26 12:36,602.936,0.000,0,0,0,0,v
2017-06-26 12:42,602.936,0.000,0,0,0,0,v
2017-06-26 12:48,602.933,0.010,0,0,0,0,v
2017-06-26 12:54,602.930,0.003,0,0,0,0,v
2017-06-26 13:00,602.907,0.010,0,0,0,0,v
2017-06-26 13:06,602.884,0.010,0,0,0,0,v
2017-06-26 13:12,602.881,0.007,0,0,0,0,v
2017-06-26 13:18,602.864,0.003,0,0,0,0,v
2017-06-26 13:24,602.838,0.003,0,0,0,0,v
2017-06-26 13:30,602.815,0.007,0,0,0,0,v
2017-06-26 13:36,602.802,0.003,0,0,0,0,v
2017-06-26 13:42,602.766,0.007,0,0,0,0,v
2017-06-26 13:48,602.746,0.007,0,0,0,0,v
2017-06-26 13:54,602.746,0.007,0,0,0,0,v
2017-06-26 14:00,602.746,0.000,0,0,0,0,v
2017-06-26 14:06,602.730,0.000,0,0,0,0,v
2017-06-26 14:12,602.710,0.000,0,0,0,0,v
2017-06-26 14:18,602.700,0.003,0,0,0,0,v
2017-06-26 14:24,602.694,0.003,0,0,0,0,v
2017-06-26 14:30,602.674,0.003,0,0,0,0,v
2017-06-26 14:36,602.671,0.000,0,0,0,0,v
2017-06-26 14:42,602.667,0.000,0,0,0,0,v
2017-06-26 14:48,602.648,0.000,0,0,0,0,v
2017-06-26 14:54,602.628,0.000,0,0,0,0,v
2017-06-26 15:00,602.608,0.013,0,0,0,0,v
2017-06-26 15:06,602.595,0.007,0,0,0,0,v
2017-06-26 15:12,602.572,0.023,0,0,0,0,v
2017-06-26 15:18,602.575,0.016,0,0,0,0,v
2017-06-26 15:24,602.579,0.007,0,0,0,0,v
2017-06-26 15:30,602.552,0.007,0,0,0,0,v
2017-06-26 15:36,602.523,0.007,0,0,0,0,v
2017-06-26 15:42,602.516,0.016,0,0,0,0,v
2017-06-26 15:48,602.533,0.007,0,0,0,0,v
2017-06-26 15:54,602.549,0.000,0,0,0,0,v
2017-06-26 16:00,602.546,0.013,0,0,0,0,v
2017-06-26 16:06,602.562,0.013,0,0,0,0,v
2017-06-26 16:12,602.595,0.007,0,0,0,0,v
2017-06-26 16:18,602.612,0.003,0,0,0,0,v
2017-06-26 16:24,602.621,0.010,0,0,0,0,v
2017-06-26 16:30,602.654,0.013,0,0,0,0,v
2017-06-26 16:36,602.690,0.007,0,0,0,0,v
2017-06-26 16:42,602.694,0.000,0,0,0,0,v
2017-06-26 16:48,602.677,0.007,0,0,0,0,v
